Title,YearPublished,UsersRated,AverageRating,Baverage,StandardDeviation,AverageWeight,NumberOfWeights,NumberOfPlays,PlayerCountRecomm_min,PlayerCountRecomm_max,PlayerCountBest_min,PlayerCountBest_max,PlayerCount_votes
Formula D ,2008,19185,7.00127,6.82138,1.32705,1.9765,810,45374,3,10,5,8,228
Time's Up! ,1999,5706,7.28633,6.81799,1.62069,1.2048,332,17935,4,4,6,6,68
Taluva ,2006,8554,7.14642,6.81771,1.28306,2.2596,701,38186,2,4,2,2,200
Bus ,1999,3307,7.59995,6.81688,1.44508,3.0461,152,9043,3,5,4,4,72
Snowdonia ,2012,4932,7.33945,6.81578,1.31538,2.9932,294,17151,1,5,4,4,117
Pax Renaissance ,2016,2310,8.00987,6.81503,1.6376,4.4615,221,8998,2,4,3,3,122
One Night Ultimate Werewolf: Daybreak ,2015,5763,7.31988,6.81467,1.51385,1.3894,113,14897,4,7,5,7,32
Regicide ,2020,4276,7.47553,6.81349,1.23579,1.9286,98,42818,1,4,2,2,103
Magic Maze ,2017,20402,6.97085,6.81276,1.33781,1.767,339,117546,2,6,4,4,322
The Downfall of Pompeii ,2004,8201,7.14895,6.81211,1.13533,1.8465,658,35877,2,4,4,4,160
Trains ,2012,8296,7.1327,6.80914,1.27546,2.3785,362,23729,2,4,3,3,92
Fort ,2020,8693,7.14561,6.80829,1.24614,2.434,212,25295,2,4,3,3,165
Cacao ,2015,10539,7.08455,6.80811,1.07911,1.8194,382,47648,2,4,3,3,134
The Republic of Rome ,1990,4155,7.52955,6.80807,1.78731,4.3605,577,4168,4,6,5,6,139
KeyForge: Call of the Archons ,2018,11150,7.12922,6.80739,1.60336,2.4866,224,110879,2,2,2,2,102
The Lord of the Rings: The Card Game – Revised Core Set ,2022,1763,8.52191,6.80688,1.26204,3.4605,76,19927,1,3,1,2,61
Shakespeare ,2015,4306,7.42182,6.80521,1.21282,2.9944,178,11083,2,4,3,3,91
Lord of the Rings: The Confrontation ,2002,6898,7.20691,6.80465,1.38863,2.1892,666,18852,2,2,2,2,64
Kingdom Builder ,2011,22808,6.94591,6.80379,1.42008,2.0629,1065,144457,2,4,4,4,375
Between Two Castles of Mad King Ludwig ,2018,6022,7.25094,6.80299,1.27464,2.1791,134,18192,3,7,6,6,89
