Title,YearPublished,UsersRated,AverageRating,Baverage,StandardDeviation,AverageWeight,NumberOfWeights,NumberOfPlays,GameCategory_1,RankCategory_1,PlayerCountRecomm_min,PlayerCountRecomm_max,PlayerCountBest_min,PlayerCountBest_max,PlayerCount_votes,GameCategory_2,RankCategory_2,GameCategory_3,RankCategory_3
Awkward Guests: The Walton Case ,2016,7478,7.59788,7.12208,1.30168,2.3188,160,25277,Family Games,1,2,6,4,4.0,190,,,,
Above and Below ,2015,15605,7.37461,7.12003,1.27066,2.5242,414,33956,Thematic Games,1,2,4,3,3.0,180,,,,
Small World ,2009,69587,7.21628,7.11811,1.2989,2.3483,3422,159071,Family Games,1,2,5,4,4.0,1034,Strategy Games,1,,
The Great Zimbabwe ,2012,4524,7.82638,7.1173,1.49566,3.688,250,16416,Strategy Games,1,2,5,4,4.0,124,,,,
Lords of Hellas ,2018,7042,7.69412,7.11708,1.47938,3.3377,228,12323,Strategy Games,1,2,4,4,4.0,146,,,,
Arboretum ,2015,19259,7.30777,7.11644,1.24686,2.1416,551,71407,Family Games,1,2,4,2,2.0,343,,,,
Bonfire ,2020,5911,7.69053,7.1154,1.24585,3.6409,298,19042,Strategy Games,1,1,4,3,3.0,151,,,,
Mind MGMT: The Psychic Espionage “Game.” ,2021,3862,8.014,7.11338,1.27861,2.898,98,14876,Strategy Games,1,1,5,2,3.0,140,,,,
Nusfjord ,2017,6067,7.64526,7.11334,1.19456,2.8406,207,29951,Strategy Games,1,1,5,1,1.0,172,,,,
Merchants & Marauders ,2010,13946,7.3963,7.11131,1.4856,3.2456,847,24667,Thematic Games,1,2,4,4,4.0,327,,,,
Tekhenu: Obelisk of the Sun ,2020,5377,7.73661,7.11024,1.31031,4.055,436,15611,Strategy Games,1,1,4,3,3.0,167,,,,
Dungeon Lords ,2009,13771,7.36624,7.10971,1.43333,3.5669,949,24740,Strategy Games,1,2,4,4,4.0,316,,,,
BattleLore: Second Edition ,2013,6268,7.68323,7.10875,1.35667,2.702,302,13625,Wargames,1,2,2,2,2.0,80,,,,
Long Shot: The Dice Game ,2022,5590,7.69227,7.10805,1.15474,1.9204,113,22305,Family Games,1,1,8,4,6.0,108,,,,
Neuroshima Hex! 3.0 ,2006,14770,7.39194,7.10802,1.39716,2.6147,872,71923,Strategy Games,1,2,4,2,2.0,371,,,,
Bärenpark ,2017,17851,7.3098,7.10767,1.08432,1.6618,408,79718,Family Games,1,2,4,4,4.0,218,,,,
Sid Meier's Civilization: The Board Game ,2010,15643,7.37757,7.10676,1.50314,3.8978,1135,22676,Strategy Games,1,2,4,4,4.0,358,,,,
Mission: Red Planet (Second Edition) ,2015,10991,7.41428,7.10613,1.18587,2.2099,262,21355,Strategy Games,1,3,6,4,4.0,165,,,,
The King Is Dead: Second Edition ,2020,5890,7.67323,7.10582,1.16356,2.1207,174,16120,Strategy Games,1,2,4,3,3.0,160,Wargames,1,,
Letters from Whitechapel ,2011,15667,7.35474,7.10253,1.36106,2.646,644,26668,Strategy Games,1,2,6,2,2.0,418,Thematic Games,1,,
Chinatown ,1999,10807,7.41908,7.10219,1.3471,2.25,536,22002,Strategy Games,1,4,5,5,5.0,179,,,,
Dixit ,2008,61780,7.21054,7.10046,1.38421,1.2007,2282,166163,Party Games,1,4,8,5,6.0,783,,,,
Mysterium ,2015,41528,7.23265,7.09513,1.38279,1.8999,889,105653,Family Games,1,3,7,5,6.0,428,Thematic Games,1,,
Harry Potter: Hogwarts Battle ,2016,17804,7.38346,7.09396,1.39683,2.0698,387,109071,Thematic Games,1,2,4,2,2.0,324,,,,
Takenoko ,2011,42924,7.22481,7.09331,1.1956,1.9757,1523,147741,Family Games,1,2,4,3,3.0,433,,,,
Star Wars: Armada ,2015,5363,7.82544,7.09295,1.48323,3.16,225,12968,Thematic Games,1,2,2,2,2.0,58,Wargames,1,,
Hannibal: Rome vs. Carthage ,1996,4952,7.78101,7.09147,1.52287,3.4538,584,7955,Wargames,1,2,2,2,2.0,99,,,,
